85.00	140.7
85.25	88.4
85.50	66.4
85.75	51.5
86.00	43.9
86.25	37.3
86.50	35.1
86.75	34.2
87.00	36.1
87.25	38.2
87.50	44.4
87.75	52.4
88.00	61.0
88.25	70.1
88.50	80.6
88.75	89.1
89.00	132.9
89.25	144.0
89.50	155.5
89.75	167.5
90.00	178.8
90.25	192.0
90.50	204.2
90.75	215.4
91.00	228.6
91.25	240.8
91.50	254.0
91.75	267.4
92.00	282.2
92.25	291.5
92.50	296.8
92.75	303.8
93.00	309.4
93.25	314.7
93.50	323.1
93.75	335.2
94.00	349.2
94.25	355.5
94.50	362.1
94.75	366.8
95.00	374.1
95.25	379.4
95.50	385.9
95.75	390.9
96.00	396.4
96.25	400.8
96.50	405.3
96.75	408.6
97.00	412.6
97.25	416.5
97.50	420.1
97.75	422.2
98.00	423.2
98.25	428.3
98.50	430.2
98.75	434.2
99.00	435.4
99.25	438.2
99.50	440.9
99.75	444.1
100.00	442.0
100.25	449.1
100.50	449.9
100.75	453.6
101.00	456.7
101.25	458.7
101.50	461.0
101.75	464.9
102.00	468.2
102.25	468.4
102.50	469.4
102.75	470.6
103.00	471.9
103.25	474.1
103.50	475.0
103.75	477.2
104.00	480.6
104.25	481.8
104.50	482.1
104.75	484.8
105.0	487.5
