85.00	348.5
85.50	292.9
86.00	250.1
86.50	240.0
87.00	258.0
87.50	283.6
88.00	300.8
88.50	317.9
89.00	353.8
89.50	375.0
90.00	393.5
90.50	419.2
91.00	442.9
91.50	464.8
92.00	487.4
92.50	503.6
93.00	516.8
93.50	528.3
94.00	540.1
94.50	552.3
95.00	566.3
95.50	579.2
96.00	587.7
96.50	594.8
97.00	598.5
97.50	601.6
98.00	606.6
98.50	610.2
99.00	613.3
99.50	617.8
100.00	619.9
100.50	620.2
101.00	626.0
101.50	631.1
102.00	629.8
102.50	632.6
103.00	634.9
103.50	635.6
104.00	637.1
104.50	641.9
104.50	639.7
104.00	639.2
103.50	635.4
103.00	635.2
102.50	630.9
102.00	630.2
101.50	624.7
101.00	623.5
100.50	619.8
100.00	616.8
99.50	614.8
99.00	611.6
98.50	612.1
98.00	604.5
97.50	603.4
97.00	598.5
96.50	593.1
96.00	586.7
95.50	578.7
95.00	564.7
94.50	551.0
94.00	535.8
93.50	523.6
93.00	513.9
92.50	500.3
92.00	481.0
91.50	466.6
91.00	440.7
90.50	415.4
90.00	395.2
89.50	373.5
89.00	355.2
88.50	317.3
88.00	298.4
87.50	281.0
87.00	256.8
86.50	235.4
86.00	241.0
85.50	289.4
85.00	355.4
